"","cosine_similarity","type","lsa_space"
"1",-0.00660757181393899,"women","fem"
"2",0.0183435769039131,"women","fem"
"3",0.0183749985482522,"women","fem"
"4",0.000119361702321483,"women","fem"
"5",0.00568427516815002,"women","fem"
"6",-0.00365226957184616,"women","fem"
"7",-0.000487256341100919,"women","fem"
"8",-0.00558275239822363,"women","fem"
"9",-0.0071524664041635,"women","fem"
"10",-0.0109635459193483,"women","fem"
"11",-0.0110770373277291,"women","fem"
"12",-0.00469102692479281,"women","fem"
"13",0.0195947760498224,"women","fem"
"14",-0.0197526293678177,"women","fem"
"15",-6.9396079681236e-05,"women","fem"
"16",-0.00359285547890652,"women","fem"
"17",-0.0142685347215204,"men","fem"
"18",-0.00304725145300414,"men","fem"
"19",-0.0177502889871134,"men","fem"
"20",-0.00508311412050236,"men","fem"
"21",-0.00277002105195767,"men","fem"
"22",0.00709795843511357,"men","fem"
"23",0.0146958234898,"men","fem"
"24",0.0155416450151775,"men","fem"
"25",-0.013990042258961,"men","fem"
"26",-0.000532795098515705,"men","fem"
"27",-0.0179744635915464,"men","fem"
"28",0.005914459930877,"men","fem"
"29",0.0169581771364445,"men","fem"
"30",-0.00412143417962469,"men","fem"
"31",-0.00184961311518755,"men","fem"
"32",-0.00067097363395118,"men","fem"
"33",-0.00495297779255565,"women","mis"
"34",0.00607220281309616,"women","mis"
"35",-0.00962601515916861,"women","mis"
"36",-0.00349569743504616,"women","mis"
"37",-0.0127138697607658,"women","mis"
"38",-0.00933918233489049,"women","mis"
"39",-0.0126387056120104,"women","mis"
"40",0.0508264617376087,"women","mis"
"41",0.0019260268522793,"women","mis"
"42",-0.0119045570885778,"women","mis"
"43",-0.00688424962400541,"women","mis"
"44",-0.00289374381243461,"women","mis"
"45",0.015333885962794,"women","mis"
"46",0.00416923715788383,"women","mis"
"47",0.000642977033219383,"men","mis"
"48",0.0158233715369153,"men","mis"
"49",-0.00890124827334719,"men","mis"
"50",-0.00381494657788552,"men","mis"
"51",-0.0158578158646747,"men","mis"
"52",0.0260186872758324,"men","mis"
"53",0.0161135668457227,"men","mis"
"54",-0.00831202076875079,"men","mis"
"55",-0.00181097346748009,"men","mis"
"56",-0.00940716644636304,"men","mis"
"57",0.00359334141452298,"men","mis"
"58",-0.000153412351560056,"men","mis"
"59",-0.0106806925608114,"men","mis"
"60",-4.59399979853167e-05,"men","mis"
